Mary M. Cheh ,"","6,462 ",44.28%
Robert Gordon ,"","1,159 ",7.94%
"Write In, if any ","",15 ,0.10%
"",Total ... ,"14,594 ",100.00%
DEM - WARD FIVE MEMBER OF THE COUNCIL ,(18) ,18/18 ,100.00%
Under Votes: 451,"","",""
Over Votes: 8,"","",""
Regina James ,"",547 ,3.56%
Deborah ''Debbie'' Smith ,"",373 ,2.43%
Bruce A. Marshall ,"","1,491 ",9.72%
Audrey M. Ray ,"",508 ,3.31%
Ron L. Magnus ,"",621 ,4.05%
Rae Zapata ,"","1,649 ",10.75%
Joe Harris ,"",212 ,1.38%
Vera Winfield ,"",224 ,1.46%
Frank Wilds ,"","2,920 ",19.03%
"Harry (Tommy) Thomas, Jr. ","","6,027 ",39.27%
Kathy Henderson ,"",714 ,4.65%
"Write In, if any ","",60 ,0.39%
"",Total ... ,"15,346 ",100.00%
"",Primary Election,"",""
"","September 12, 2006","",""
"",Summary Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
DEM - WARD SIX MEMBER OF THE COUNCIL ,(17) ,17/17 ,100.00%
Under Votes: 778,"","",""
Over Votes: 1,"","",""
Leo Pinson ,"","1,714 ",13.41%
"Curtis L. Etherly, Jr. ","","2,510 ",19.63%
Tommy Wells ,"","8,323 ",65.09%
"Write In, if any ","",239 ,1.87%
"",Total ... ,"12,786 ",100.00%
DEM - UNITED STATES SENATOR ,(142) ,142/142 ,100.00%
Under Votes: 21395,"","",""
Over Votes: 9,"","",""
Michael D. Brown ,"","62,415 ",73.15%
Philip Pannell ,"","21,552 ",25.26%
"Write In, if any ","","1,363 ",1.60%
"",Total ... ,"85,330 ",100.00%
DEM - UNITED STATES REPRESENTATIVE ,(142) ,142/142 ,100.00%
Under Votes: 29314,"","",""
Over Votes: 18,"","",""
Mike Panetta ,"","36,373 ",47.00%
John J. Forster ,"","25,554 ",33.02%
James S. Bubar ,"","13,493 ",17.43%
"Write In, if any ","","1,973 ",2.55%
"",Total ... ,"77,393 ",100.00%
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(142) ,142/142 ,100.00%
Under Votes: 1877,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",616 ,100.00%
"",Total ... ,616 ,100.00%
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(142) ,142/142 ,100.00%
Under Votes: 174,"","",""
Over Votes: 2,"","",""
David W. Kranich ,"","1,513 ",65.30%
"Write In, if any ","",804 ,34.70%
"",Total ... ,"2,317 ",100.00%
REP - CHAIRMAN OF THE COUNCIL ,(142) ,142/142 ,100.00%
Under Votes: 1892,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",601 ,100.00%
"",Total ... ,601 ,100.00%
REP - AT-LARGE MEMBER OF THE COUNCIL ,(142) ,142/142 ,100.00%
Under Votes: 462,"","",""
Over Votes: 1,"","",""
Marcus Skelton ,"","1,766 ",87.00%
"Write In, if any ","",264 ,13.00%
"",Total ... ,"2,030 ",100.00%
"",Primary Election,"",""
"","September 12, 2006","",""
"",Summary Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
REP - WARD ONE MEMBER OF THE COUNCIL ,(16) ,16/16 ,100.00%
Under Votes: 157,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",46 ,100.00%
"",Total ... ,46 ,100.00%
REP - WARD THREE MEMBER OF THE COUNCIL ,(17) ,17/17 ,100.00%
Under Votes: 82,"","",""
Over Votes: 1,"","",""
Theresa Conroy ,"",577 ,85.10%
"Write In, if any ","",101 ,14.90%
"",Total ... ,678 ,100.00%
REP - WARD FIVE MEMBER OF THE COUNCIL ,(18) ,18/18 ,100.00%
Under Votes: 116,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",88 ,100.00%
"",Total ... ,88 ,100.00%
REP - WARD SIX MEMBER OF THE COUNCIL ,(17) ,17/17 ,100.00%
Under Votes: 34,"","",""
Over Votes: 0,"","",""
Tony Williams ,"",376 ,88.26%
"Write In, if any ","",50 ,11.74%
"",Total ... ,426 ,100.00%
REP - UNITED STATES SENATOR ,(142) ,142/142 ,100.00%
Under Votes: 2170,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",323 ,100.00%
"",Total ... ,323 ,100.00%
REP - UNITED STATES REPRESENTATIVE ,(142) ,142/142 ,100.00%
Under Votes: 2169,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",324 ,100.00%
"",Total ... ,324 ,100.00%
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(142) ,142/142 ,100.00%
Under Votes: 307,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",230 ,100.00%
"",Total ... ,230 ,100.00%
SG - MAYOR OF THE DISTRICT OF COLUMBIA ,(142) ,142/142 ,100.00%
Under Votes: 27,"","",""
Over Votes: 0,"","",""
Chris Otten ,"",256 ,50.10%
"Write In, if any ","",255 ,49.90%
"",Total ... ,511 ,100.00%
"",Primary Election,"",""
"","September 12, 2006","",""
"",Summary Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
SG - CHAIRMAN OF THE COUNCIL ,(142) ,142/142 ,100.00%
Under Votes: 327,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",210 ,100.00%
"",Total ... ,210 ,100.00%
SG - AT-LARGE MEMBER OF THE COUNCIL ,(142) ,142/142 ,100.00%
Under Votes: 85,"","",""
Over Votes: 0,"","",""
Ann C. Wilcox ,"",375 ,82.78%
"Write In, if any ","",78 ,17.22%
"",Total ... ,453 ,100.00%
SG - WARD ONE MEMBER OF THE COUNCIL ,(16) ,16/16 ,100.00%
Under Votes: 92,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",50 ,100.00%
"",Total ... ,50 ,100.00%
SG - WARD THREE MEMBER OF THE COUNCIL ,(17) ,17/17 ,100.00%
Under Votes: 15,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",28 ,100.00%
"",Total ... ,28 ,100.00%
SG - WARD FIVE MEMBER OF THE COUNCIL ,(18) ,18/18 ,100.00%
Under Votes: 2,"","",""
Over Votes: 0,"","",""
Carolyn C. Steptoe ,"",40 ,44.94%
"Philip Blair, Jr. ","",33 ,37.08%
"Write In, if any ","",16 ,17.98%
"",Total ... ,89 ,100.00%
SG - WARD SIX MEMBER OF THE COUNCIL ,(17) ,17/17 ,100.00%
Under Votes: 39,"","",""
Over Votes: 0,"","",""
"Write In, if any ","",38 ,100.00%
"",Total ... ,38 ,100.00%
SG - UNITED STATES SENATOR ,(142) ,142/142 ,100.00%
Under Votes: 103,"","",""
Over Votes: 0,"","",""
Joyce Robinson-Paul ,"",402 ,92.41%
"Write In, if any ","",33 ,7.59%
"",Total ... ,435 ,100.00%
SG - UNITED STATES REPRESENTATIVE ,(142) ,142/142 ,100.00%
Under Votes: 106,"","",""
Over Votes: 0,"","",""
Keith R. Ware ,"",398 ,92.13%
"",Primary Election,"",""
"","September 12, 2006","",""
"",Summary Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
SG - UNITED STATES REPRESENTATIVE,(continued...) (142) ,142/142 ,100.00%
"Write In, if any ","",34 ,7.87%
"",Total ... ,432 ,100.00%
"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Subdivision Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
City of Washington Ward 1 ,City of Washington Ward 1,"","",""
Registration & Turnout (0) ,"35,398 DEM - UNITED STATES SENATOR (16) ","",16/16 ,100.00%
Election Day Turnout ,"10,555 29.82% Michael D. Brown ","","5,801 ",70.03%
Absentee Turnout ,385 1.09% Philip Pannell ,"","2,317 ",27.97%
Provisional Turnout ,"371 1.05% Write In, if any ","",166 ,2.00%
Total... ,"11,311 31.95% Total... ","","8,284 ",100.00%
Democratic Registration & Turnout (0) ,"31,620 DEM - UNITED STATES REPRESENTATIVE (16) ","",16/16 ,100.00%
Election Day Turnout ,"10,229 32.35% Mike Panetta ","","3,784 ",50.66%
Absentee Turnout ,377 1.19% John J. Forster ,"","2,126 ",28.46%
Provisional Turnout ,360 1.14% James S. Bubar ,"","1,325 ",17.74%
Total... ,"10,966 34.68% Write In, if any ","",234 ,3.13%
Republican Registration & Turnout (0) ,"2,800 Total... ","","7,469 ",100.00%
Election Day Turnout ,188 6.71% REP - DELEGATE TO THE U.S. HOUSE OF REP(R1E6)S ,"",16/16 ,100.00%
Absentee Turnout ,"6 0.21% Write In, if any ","",51 ,100.00%
Provisional Turnout ,9 0.32% Total... ,"",51 ,100.00%
Total... ,203 7.25% REP - MAYOR OF THE DISTRICT OF COLUMBI(A16) ,"",16/16 ,100.00%
DC Statehood Green Party Registration & Turno(u0t) ,978 David W. Kranich ,"",130 ,71.82%
Election Day Turnout ,"138 14.11% Write In, if any ","",51 ,28.18%
Absentee Turnout ,2 0.20% Total... ,"",181 ,100.00%
Provisional Turnout ,2 0.20% REP - CHAIRMAN OF THE COUNCIL (16) ,"",16/16 ,100.00%
Total... ,"142 14.52% Write In, if any ","",51 ,100.00%
DEM - DELEGATE TO THE U.S. HOUSE OF REP(1R6E)S ,16/16 100.00% Total... ,"",51 ,100.00%
Andy Miscuk ,"1,142 10.86% REP - AT-LARGE MEMBER OF THE COUNCIL (16) ","",16/16 ,100.00%
Eleanor Holmes Norton ,"9,310 88.51% Marcus Skelton ","",148 ,92.50%
"Write In, if any ","67 0.64% Write In, if any ","",12 ,7.50%
Total... ,"10,519 100.00% Total... ","",160 ,100.00%
DEM - MAYOR OF THE DISTRICT OF COLUMBI(A16) ,16/16 100.00% REP - WARD ONE MEMBER OF THE COUNCIL (16) ,"",16/16 ,100.00%
Vincent Orange ,"181 1.66% Write In, if any ","",46 ,100.00%
Adrian Fenty ,"6,706 61.49% Total... ","",46 ,100.00%
Michael A. Brown ,53 0.49%,"","",""
Linda Cropp ,"2,912 26.70% REP - UNITED STATES SENATOR (16) ","",16/16 ,100.00%
Artee (RT) Milligan ,"6 0.06% Write In, if any ","",23 ,100.00%
Marie Johns ,"1,020 9.35% Total... ","",23 ,100.00%
Nestor Djonkam ,13 0.12% REP - UNITED STATES REPRESENTATIVE (16) ,"",16/16 ,100.00%
"Write In, if any ","14 0.13% Write In, if any ","",25 ,100.00%
Total... ,"10,905 100.00% Total... ","",25 ,100.00%
DEM - CHAIRMAN OF THE COUNCIL (16) ,16/16 100.00% SG - DELEGATE TO THE U.S. HOUSE OF REPR(E16S)E ,"",16/16 ,100.00%
Vincent C. Gray ,"5,230 51.03% Write In, if any ","",54 ,100.00%
Kathy Patterson ,"4,998 48.77% Total... ","",54 ,100.00%
"Write In, if any ",21 0.20%,"","",""
Total... ,"10,249 100.00% SG - MAYOR OF THE DISTRICT OF COLUMBIA(16) ","",16/16 ,100.00%
"",Chris Otten,"","",""
DEM - AT-LARGE MEMBER OF THE COUNCIL (16),16/16100.00%,"",75 ,55.15%
"","Write In, if any ","",61 ,44.85%
Phil Mendelson ,"7,375 74.53% Total... ","",136 ,100.00%
A. Scott Bolden ,"2,474 25.00%","","",""
"",(16) ,"",16/16 ,100.00%
"Write In, if any ",SG - CHAIRMAN OF THE COUNCIL470.47%,"","",""
Total... ,"9,896 100.00% Write In, if any ","",46 ,100.00%
"",Total... ,"",46 ,100.00%
DEM - WARD ONE MEMBER OF THE COUNCIL (16) ,16/16 100.00%,"","",""
Jim Graham,"SG - AT-LARGE MEMBER OF THE COUNCIL (16) 9,02886.32%","",16/16 ,100.00%
Chad Williams ,"1,361 13.01% Ann C. Wilcox ","",111 ,90.24%
"Write In, if any ","70 0.67% Write In, if any ","",12 ,9.76%
Total... ,"10,459 100.00% Total... ","",123 ,100.00%
"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Subdivision Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
City of Washington Ward 1 ,City of Washington Ward 2,"","",""
SG - WARD ONE MEMBER OF THE COUNCIL (16) ,16/16 100.00% Registration & Turnout (0) ,"","32,603",""
"Write In, if any ",50 100.00% Election Day Turnout ,"","8,447 ",25.91%
Total... ,50 100.00% Absentee Turnout ,"",377 ,1.16%
SG - UNITED STATES SENATOR (16) ,16/16 100.00% Provisional Turnout ,"",234 ,0.72%
Joyce Robinson-Paul ,Total... 11495.00%,"","9,058 ",27.78%
"Write In, if any ",6 5.00% Democratic Registration & Turnout (0) ,"","26,438",""
Total... ,120 100.00% Election Day Turnout ,"","8,092 ",30.61%
SG - UNITED STATES REPRESENTATIVE (16) ,16/16 100.00% Absentee Turnout ,"",361 ,1.37%
Keith R. Ware ,Provisional Turnout11396.58% ,"",224 ,0.85%
"Write In, if any ",Total... 43.42%,"","8,677 ",32.82%
Total... ,117 100.00% Republican Registration & Turnout (0) ,"","5,668",""
"",Election Day Turnout ,"",317 ,5.59%
"",Absentee Turnout ,"",14 ,0.25%
"",Provisional Turnout ,"",9 ,0.16%
"",Total... ,"",340 ,6.00%
"",DC Statehood Green Party Registration & Turno(u0t) ,"",497,""
"",Election Day Turnout ,"",38 ,7.65%
"",Absentee Turnout ,"",2 ,0.40%
"",Provisional Turnout ,"",1 ,0.20%
"",Total... ,"",41 ,8.25%
"",DEM - DELEGATE TO THE U.S. HOUSE OF REP(1R4E)S ,"",14/14 ,100.00%
"",Andy Miscuk ,"",818 ,9.87%
"",Eleanor Holmes Norton ,"","7,403 ",89.31%
"","Write In, if any ","",68 ,0.82%
"",Total... ,"","8,289 ",100.00%
"",DEM - MAYOR OF THE DISTRICT OF COLUMBI(A14) ,"",14/14 ,100.00%
"",Vincent Orange ,"",77 ,0.89%
"",Adrian Fenty ,"","4,651 ",53.91%
"",Michael A. Brown ,"",42 ,0.49%
"",Linda Cropp ,"","2,829 ",32.79%
"",Artee (RT) Milligan ,"",6 ,0.07%
"",Marie Johns ,"","1,010 ",11.71%
"",Nestor Djonkam ,"",0 ,0.00%
"","Write In, if any ","",13 ,0.15%
"",Total... ,"","8,628 ",100.00%
"",DEM - CHAIRMAN OF THE COUNCIL (14) ,"",14/14 ,100.00%
"",Vincent C. Gray ,"","3,110 ",38.17%
"",Kathy Patterson ,"","5,017 ",61.57%
"","Write In, if any ","",21 ,0.26%
"",Total... ,"","8,148 ",100.00%
"",DEM - AT-LARGE MEMBER OF THE COUNCIL (14) ,"",14/14 ,100.00%
"",Phil Mendelson ,"","6,417 ",80.86%
"",A. Scott Bolden ,"","1,493 ",18.81%
"","Write In, if any ","",26 ,0.33%
"",Total... ,"","7,936 ",100.00%
"",DEM - UNITED STATES SENATOR (14) ,"",14/14 ,100.00%
"",Michael D. Brown ,"","3,935 ",64.30%
"",Philip Pannell ,"","2,053 ",33.55%
"","Write In, if any ","",132 ,2.16%
"",Total... ,"","6,120 ",100.00%
"","",Primary Election,"","",""
"","","September 12, 2006","","",""
"","",Subdivision Report,"","",""
"","",District Of Columbia,"","",""
"","",Certified Election Night Results ,"","",""
City of Washington Ward 2 ,"",City of Washington Ward 3,"","",""
DEM - UNITED STATES REPRESENTATIVE (14) ,"",14/14 100.00% Registration & Turnout (0) ,"","40,410",""
Mike Panetta ,"","3,094 56.91% Election Day Turnout ","","14,678 ",36.32%
John J. Forster ,"","1,159 21.32% Absentee Turnout ","",785 ,1.94%
James S. Bubar ,"","1,011 18.59% Provisional Turnout ","",275 ,0.68%
"Write In, if any ","",173 3.18% Total... ,"","15,738 ",38.95%
Total... ,"","5,437 100.00% Democratic Registration & Turnout (0) ","","31,719",""
REP - DELEGATE TO THE U.S. HOUSE OF REP(R1E4)S ,"",14/14 100.00% Election Day Turnout ,"","13,769 ",43.41%
"Write In, if any ","",71 100.00% Absentee Turnout ,"",756 ,2.38%
Total... ,"",71 100.00% Provisional Turnout ,"",261 ,0.82%
REP - MAYOR OF THE DISTRICT OF COLUMBI(A14) ,"",14/14 100.00% Total... ,"","14,786 ",46.62%
David W. Kranich ,"",228 70.15% Republican Registration & Turnout (0) ,"","8,230",""
"Write In, if any ","",97 29.85% Election Day Turnout ,"",721 ,8.76%
Total... ,"",325 100.00% Absentee Turnout ,"",26 ,0.32%
REP - CHAIRMAN OF THE COUNCIL (14) ,"",14/14 100.00% Provisional Turnout ,"",14 ,0.17%
"Write In, if any ","",Total... 75100.00%,"",761 ,9.25%
Total... ,"",75 100.00% DC Statehood Green Party Registration & Turno(u0t) ,"",461,""
REP - AT-LARGE MEMBER OF THE COUNCIL (14) ,"",14/14 100.00% Election Day Turnout ,"",40 ,8.68%
Marcus Skelton ,"",Absentee Turnout24987.99% ,"",3 ,0.65%
"Write In, if any ","",Provisional Turnout3412.01% ,"",0 ,0.00%
Total... ,"",283 100.00% Total... ,"",43 ,9.33%
REP - UNITED STATES SENATOR (14) ,"",14/14 100.00% DEM - DELEGATE TO THE U.S. HOUSE OF REP(1R7E)S ,"",17/17 ,100.00%
"Write In, if any ","",Andy Miscuk40100.00% ,"","1,453 ",10.22%
Total... ,"",40 100.00% Eleanor Holmes Norton ,"","12,629 ",88.80%
"","","Write In, if any ","",140 ,0.98%
REP - UNITED STATES REPRESENTATIVE (14) ,"",14/14 100.00% Total... ,"","14,222 ",100.00%
"Write In, if any ","",40 100.00% DEM - MAYOR OF THE DISTRICT OF COLUMBI(A17) ,"",17/17 ,100.00%
Total... ,"",40 100.00%,"","",""
"","",Vincent Orange ,"",118 ,0.79%
SG - DELEGATE TO THE U.S. HOUSE OF REPR(E14S)E ,"",14/14 100.00% Adrian Fenty ,"","8,147 ",54.86%
"Write In, if any ","",15 100.00% Michael A. Brown ,"",52 ,0.35%
Total... ,"",15 100.00% Linda Cropp ,"","4,120 ",27.74%
SG - MAYOR OF THE DISTRICT OF COLUMBIA(14) ,"",14/14 100.00% Artee (RT) Milligan ,"",8 ,0.05%
Chris Otten ,"",25 60.98% Marie Johns ,"","2,366 ",15.93%
"Write In, if any ","",16 39.02% Nestor Djonkam ,"",5 ,0.03%
Total... ,"","41 100.00% Write In, if any ","",35 ,0.24%
"","",Total... ,"","14,851 ",100.00%
SG - CHAIRMAN OF THE COUNCIL (14) ,"",14/14 100.00%,"","",""
"","",DEM - CHAIRMAN OF THE COUNCIL (17) ,"",17/17 ,100.00%
"Write In, if any ","",15 100.00%,"","",""
Total... ,"",15 100.00% Vincent C. Gray ,"","3,717 ",25.69%
"","",Kathy Patterson ,"","10,726 ",74.13%
SG - AT-LARGE MEMBER OF THE COUNCIL (14) ,"","14/14 100.00% Write In, if any ","",27 ,0.19%
Ann C. Wilcox ,"",36 90.00% Total... ,"","14,470 ",100.00%
"Write In, if any ","",4 10.00% DEM - AT-LARGE MEMBER OF THE COUNCIL (17) ,"",17/17 ,100.00%
Total... ,"",40 100.00%,"","",""
"","",Phil Mendelson ,"","11,795 ",85.60%
SG - UNITED STATES SENATOR (14) ,"",14/14 100.00% A. Scott Bolden ,"","1,934 ",14.03%
Joyce Robinson-Paul ,"","36 94.74% Write In, if any ","",51 ,0.37%
"Write In, if any ","",2 5.26% Total... ,"","13,780 ",100.00%
Total... ,"",38 100.00%,"","",""
"","",DEM - WARD THREE MEMBER OF THE COUNC(I1L7) ,"",17/17 ,100.00%
SG - UNITED STATES REPRESENTATIVE (14) ,"",14/14 100.00% Bill Rice ,"",954 ,6.54%
Keith R. Ware ,"",37 97.37% Paul Strauss ,"","2,110 ",14.46%
"Write In, if any ","",1 2.63% Jonathan Rees ,"",32 ,0.22%
Total... ,"",38 100.00% Sam Brooks ,"","1,191 ",8.16%
"","",Erik S. Gaull ,"","1,023 ",7.01%
"",Primary Election,"",""
"","September 12, 2006","",""
"",Subdivision Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
City of Washington Ward 3 ,City of Washington Ward 3,"",""
DEM - WARD THREE MEMBER OF THE COUNC(I1L7) ,17/17 100.00% SG - CHAIRMAN OF THE COUNCIL (17) ,17/17 ,100.00%
Eric Goulet ,"490 3.36% Write In, if any ",22 ,100.00%
Cathy Wiss ,"1,158 7.93% Total... ",22 ,100.00%
Mary M. Cheh ,"6,462 44.28% SG - AT-LARGE MEMBER OF THE COUNCIL (17) ",17/17 ,100.00%
Robert Gordon ,"1,159 7.94% Ann C. Wilcox ",29 ,70.73%
"Write In, if any ","15 0.10% Write In, if any ",12 ,29.27%
Total... ,"14,594 100.00% Total... ",41 ,100.00%
DEM - UNITED STATES SENATOR (17) ,17/17 100.00% SG - WARD THREE MEMBER OF THE COUNCIL(17) ,17/17 ,100.00%
Michael D. Brown ,"6,529 69.00% Write In, if any ",28 ,100.00%
Philip Pannell ,"2,648 27.98% Total... ",28 ,100.00%
"Write In, if any ",286 3.02%,"",""
Total... ,"9,463 100.00% SG - UNITED STATES SENATOR (17) ",17/17 ,100.00%
DEM - UNITED STATES REPRESENTATIVE (17) ,17/17 100.00% Joyce Robinson-Paul ,33 ,94.29%
"","Write In, if any ",2 ,5.71%
Mike Panetta ,"4,579 55.62% Total... ",35 ,100.00%
John J. Forster ,"1,446 17.56%","",""
James S. Bubar ,"1,872 22.74% SG - UNITED STATES REPRESENTATIVE (17) ",17/17 ,100.00%
"Write In, if any ",336 4.08% Keith R. Ware ,31 ,88.57%
Total... ,"8,233 100.00% Write In, if any ",4 ,11.43%
REP - DELEGATE TO THE U.S. HOUSE OF REP(R1E7)S ,17/17 100.00% Total... ,35 ,100.00%
"Write In, if any ",129 100.00%,"",""
Total... ,129 100.00%,"",""
REP - MAYOR OF THE DISTRICT OF COLUMBI(A17) ,17/17 100.00%,"",""
David W. Kranich ,509 72.51%,"",""
"Write In, if any ",193 27.49%,"",""
Total... ,702 100.00%,"",""
REP - CHAIRMAN OF THE COUNCIL (17) ,17/17 100.00%,"",""
"Write In, if any ",157 100.00%,"",""
Total... ,157 100.00%,"",""
REP - AT-LARGE MEMBER OF THE COUNCIL (17) ,17/17 100.00%,"",""
Marcus Skelton ,566 90.27%,"",""
"Write In, if any ",61 9.73%,"",""
Total... ,627 100.00%,"",""
REP - WARD THREE MEMBER OF THE COUNC(I1L7) ,17/17 100.00%,"",""
Theresa Conroy ,577 85.10%,"",""
"Write In, if any ",101 14.90%,"",""
Total... ,678 100.00%,"",""
REP - UNITED STATES SENATOR (17) ,17/17 100.00%,"",""
"Write In, if any ",62 100.00%,"",""
Total... ,62 100.00%,"",""
REP - UNITED STATES REPRESENTATIVE (17) ,17/17 100.00%,"",""
"Write In, if any ",74 100.00%,"",""
Total... ,74 100.00%,"",""
SG - DELEGATE TO THE U.S. HOUSE OF REPR(E17S)E ,17/17 100.00%,"",""
"Write In, if any ",22 100.00%,"",""
Total... ,22 100.00%,"",""
SG - MAYOR OF THE DISTRICT OF COLUMBIA(17) ,17/17 100.00%,"",""
Chris Otten ,21 51.22%,"",""
"Write In, if any ",20 48.78%,"",""
Total... ,41 100.00%,"",""
"",Primary Election,"","",""
"","September 12, 2006","","",""
"",Subdivision Report,"","",""
"",District Of Columbia,"","",""
"",Certified Election Night Results ,"","",""
City of Washington Ward 4 ,City of Washington Ward 4,"","",""
Registration & Turnout (0) ,"46,494 DEM - UNITED STATES REPRESENTATIVE (20) ","",20/20 ,100.00%
Election Day Turnout ,"19,013 40.89% Mike Panetta ","","6,603 ",44.85%
Absentee Turnout ,571 1.23% John J. Forster ,"","4,958 ",33.68%
Provisional Turnout ,415 0.89% James S. Bubar ,"","2,822 ",19.17%
Total... ,"19,999 43.01% Write In, if any ","",340 ,2.31%
Democratic Registration & Turnout (0) ,"42,911 Total... ","","14,723 ",100.00%
Election Day Turnout ,"18,644 43.45% REP - DELEGATE TO THE U.S. HOUSE OF REP(R2E0)S ","",20/20 ,100.00%
Absentee Turnout ,"559 1.30% Write In, if any ","",87 ,100.00%
Provisional Turnout ,411 0.96% Total... ,"",87 ,100.00%
Total... ,"19,614 45.71% REP - MAYOR OF THE DISTRICT OF COLUMBI(A20) ","",20/20 ,100.00%
Republican Registration & Turnout (0) ,"2,927 David W. Kranich ","",141 ,49.30%
Election Day Turnout ,"293 10.01% Write In, if any ","",145 ,50.70%
Absentee Turnout ,11 0.38% Total... ,"",286 ,100.00%
Provisional Turnout ,4 0.14% REP - CHAIRMAN OF THE COUNCIL (20) ,"",20/20 ,100.00%
Total... ,"308 10.52% Write In, if any ","",93 ,100.00%
DC Statehood Green Party Registration & Turno(u0t) ,656 Total... ,"",93 ,100.00%
