"",Primary Election,"",""
"","September 12, 2006","",""
"",Precinct Report,"",""
"",District Of Columbia,"",""
"",Certified Election Night Results ,"",""
Precinct 76 ,Precinct 76,"",""
DEM - WARD FIVE MEMBER OF THE COUNCIL ,(Final) SG - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
Audrey M. Ray ,100 49.26% Chris Otten ,0 ,0.00%
Ron L. Magnus ,"7 3.45% Write In, if any ",0 ,0.00%
Rae Zapata ,8 3.94% Total... ,0 ,0.00%
Joe Harris ,0 0.00%,"",""
Vera Winfield ,3 SG - CHAIRMAN OF THE COUNCIL 1.48%,"",(Final)
Frank Wilds ,"16 7.88% Write In, if any ",0 ,0.00%
"Harry (Tommy) Thomas, Jr. ",47 23.15% Total... ,0 ,0.00%
Kathy Henderson ,10 4.93% SG - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
"Write In, if any ",0 0.00% Ann C. Wilcox ,0 ,0.00%
Total... ,"203 100.00% Write In, if any ",0 ,0.00%
DEM - UNITED STATES SENATOR ,(Final) Total... ,0 ,0.00%
Michael D. Brown ,152 81.72% SG - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final)
Philip Pannell ,32 17.20% Carolyn C. Steptoe ,0 ,0.00%
"Write In, if any ","2 1.08% Philip Blair, Jr. ",0 ,0.00%
Total... ,"186 100.00% Write In, if any ",0 ,0.00%
DEM - UNITED STATES REPRESENTATIVE ,(Final) Total... ,0 ,0.00%
Mike Panetta ,69 38.76% SG - UNITED STATES SENATOR ,"",(Final)
John J. Forster ,79 44.38% Joyce Robinson-Paul ,0 ,0.00%
James S. Bubar ,"27 15.17% Write In, if any ",0 ,0.00%
"Write In, if any ",3 1.69%,"",""
"",Total... ,0 ,0.00%
Total... ,178 100.00%,"",""
"",SG - UNITED STATES REPRESENTATIVE ,"",(Final)
REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,(Final),"",""
"",Keith R. Ware ,0 ,0.00%
"Write In, if any ","2 100.00% Write In, if any ",0 ,0.00%
Total... ,2 100.00% Total... ,0 ,0.00%
REP - MAYOR OF THE DISTRICT OF COLUMBIA ,(Final),"",""
David W. Kranich ,0 0.00%,"",""
"Write In, if any ",2 100.00%,"",""
Total... ,2 100.00%,"",""
REP - CHAIRMAN OF THE COUNCIL ,(Final),"",""
"Write In, if any ",2 100.00%,"",""
Total... ,2 100.00%,"",""
REP - AT-LARGE MEMBER OF THE COUNCIL ,(Final),"",""
Marcus Skelton ,1 50.00%,"",""
"Write In, if any ",1 50.00%,"",""
Total... ,2 100.00%,"",""
REP - WARD FIVE MEMBER OF THE COUNCIL ,(Final),"",""
"Write In, if any ",2 100.00%,"",""
Total... ,2 100.00%,"",""
REP - UNITED STATES SENATOR ,(Final),"",""
"Write In, if any ",1 100.00%,"",""
Total... ,1 100.00%,"",""
REP - UNITED STATES REPRESENTATIVE ,(Final),"",""
"Write In, if any ",1 100.00%,"",""
Total... ,1 100.00%,"",""
SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,(Final),"",""
"Write In, if any ",0 0.00%,"",""
Total... ,0 0.00%,"",""
