"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 75 ,"",Precinct 75,"",""
Registration & Turnout ,"","2,684 DEM - WARD FIVE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",724 26.97% Audrey M. Ray 25 ,"",3.44%
Absentee Turnout ,"",15 0.56% Ron L. Magnus 25 ,"",3.44%
Provisional Turnout ,"",27 1.01% Rae Zapata 74 ,"",10.18%
Total... ,"",766 28.54% Joe Harris 13 ,"",1.79%
"","",Vera Winfield 10 ,"",1.38%
Democratic Registration & Turnout ,"","2,499 Frank Wilds 102 ","",14.03%
Election Day Turnout ,"","709 28.37% Harry (Tommy) Thomas, Jr. 356 ","",48.97%
Absentee Turnout ,"",14 0.56% Kathy Henderson 27 ,"",3.71%
Provisional Turnout ,"","27 1.08% Write In, if any 4 ","",0.55%
Total... ,"",750 30.01% Total... 727 ,"",100.00%
Republican Registration & Turnout ,"",133 DEM - UNITED STATES SENATOR ,"",(Final)
Election Day Turnout ,"",12 9.02% Michael D. Brown 515 ,"",79.23%
Absentee Turnout ,"",0 0.00% Philip Pannell 127 ,"",19.54%
Provisional Turnout ,"","0 0.00% Write In, if any 8 ","",1.23%
Total... ,"",12 9.02% Total... 650 ,"",100.00%
DC Statehood Green Party Registration & Turnout ,"",52 DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Election Day Turnout ,"",3 5.77% Mike Panetta 253 ,"",41.00%
Absentee Turnout ,"",1 1.92% John J. Forster 253 ,"",41.00%
Provisional Turnout ,"",0 0.00% James S. Bubar 95 ,"",15.40%
Total... ,"","4 7.69% Write In, if any 16 ","",2.59%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 617 ,"",100.00%
Andy Miscuk ,"",25 3.44% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
Eleanor Holmes Norton ,"","697 96.01% Write In, if any 4 ","",100.00%
"Write In, if any ","",4 0.55%,"",""
"","",Total... 4 ,"",100.00%
Total... ,"",726 100.00%,"",""
"","",REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) David W. Kranich 7 ,"",70.00%
Vincent Orange ,"","50 6.71% Write In, if any 3 ","",30.00%
Adrian Fenty ,"",405 54.36%,"",""
Michael A. Brown ,"",8 Total... 10 1.07%,"",100.00%
Linda Cropp ,"",243 32.62% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","0 0.00% Write In, if any 2 ","",100.00%
Marie Johns ,"",38 5.10% Total... 2 ,"",100.00%
Nestor Djonkam ,"",0 0.00%,"",""
"Write In, if any ","",1 REP - AT-LARGE MEMBER OF THE COUNCIL 0.13%,"",(Final)
"","",Marcus Skelton 8 ,"",88.89%
Total... ,"","745 100.00% Write In, if any 1 ","",11.11%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 9 ,"",100.00%
Vincent C. Gray ,"",498 70.84%,"",""
Kathy Patterson ,"",205 REP - WARD FIVE MEMBER OF THE COUNCIL 29.16%,"",(Final)
"Write In, if any ","","0 0.00% Write In, if any 4 ","",100.00%
Total... ,"",703 100.00% Total... 4 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) REP - UNITED STATES SENATOR ,"",(Final)
Phil Mendelson ,"","375 55.15% Write In, if any 3 ","",100.00%
A. Scott Bolden ,"",303 44.56% Total... 3 ,"",100.00%
"Write In, if any ","",2 0.29% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","680 100.00% Write In, if any 3 ","",100.00%
DEM - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final) Total... 3 ,"",100.00%
Regina James ,"",16 2.20% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Deborah ''Debbie'' Smith ,"","16 2.20% Write In, if any 1 ","",100.00%
Bruce A. Marshall ,"",59 8.12%,"",""
"","",Total... 1 ,"",100.00%
