"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 135 ,"",Precinct 135,"",""
Registration & Turnout ,"","2,671 DEM - WARD FIVE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",837 31.34% Audrey M. Ray 21 ,"",2.55%
Absentee Turnout ,"",21 0.79% Ron L. Magnus 16 ,"",1.94%
Provisional Turnout ,"",22 0.82% Rae Zapata 69 ,"",8.37%
Total... ,"",880 32.95% Joe Harris 59 ,"",7.16%
"","",Vera Winfield 7 ,"",0.85%
Democratic Registration & Turnout ,"","2,464 Frank Wilds 95 ","",11.53%
Election Day Turnout ,"","807 32.75% Harry (Tommy) Thomas, Jr. 447 ","",54.25%
Absentee Turnout ,"",20 0.81% Kathy Henderson 22 ,"",2.67%
Provisional Turnout ,"","21 0.85% Write In, if any 4 ","",0.49%
Total... ,"",848 34.42% Total... 824 ,"",100.00%
Republican Registration & Turnout ,"",152 DEM - UNITED STATES SENATOR ,"",(Final)
Election Day Turnout ,"",19 12.50% Michael D. Brown 544 ,"",74.42%
Absentee Turnout ,"",1 0.66% Philip Pannell 173 ,"",23.67%
Provisional Turnout ,"","1 0.66% Write In, if any 14 ","",1.92%
Total... ,"",21 13.82% Total... 731 ,"",100.00%
DC Statehood Green Party Registration & Turnout ,"",55 DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Election Day Turnout ,"",11 20.00% Mike Panetta 285 ,"",43.12%
Absentee Turnout ,"",0 0.00% John J. Forster 279 ,"",42.21%
Provisional Turnout ,"",0 0.00% James S. Bubar 82 ,"",12.41%
Total... ,"","11 20.00% Write In, if any 15 ","",2.27%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 661 ,"",100.00%
Andy Miscuk ,"",35 4.23% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
Eleanor Holmes Norton ,"","787 95.05% Write In, if any 7 ","",100.00%
"Write In, if any ","",6 0.72%,"",""
"","",Total... 7 ,"",100.00%
Total... ,"",828 100.00%,"",""
"","",REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) David W. Kranich 8 ,"",38.10%
Vincent Orange ,"","36 4.27% Write In, if any 13 ","",61.90%
Adrian Fenty ,"",451 53.50%,"",""
Michael A. Brown ,"",2 Total... 21 0.24%,"",100.00%
Linda Cropp ,"",279 33.10% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","2 0.24% Write In, if any 7 ","",100.00%
Marie Johns ,"",71 8.42% Total... 7 ,"",100.00%
Nestor Djonkam ,"",1 0.12%,"",""
"Write In, if any ","",1 REP - AT-LARGE MEMBER OF THE COUNCIL 0.12%,"",(Final)
"","",Marcus Skelton 16 ,"",88.89%
Total... ,"","843 100.00% Write In, if any 2 ","",11.11%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 18 ,"",100.00%
Vincent C. Gray ,"",554 68.99%,"",""
Kathy Patterson ,"",245 REP - WARD FIVE MEMBER OF THE COUNCIL 30.51%,"",(Final)
"Write In, if any ","","4 0.50% Write In, if any 10 ","",100.00%
Total... ,"",803 100.00% Total... 10 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) REP - UNITED STATES SENATOR ,"",(Final)
Phil Mendelson ,"","419 54.42% Write In, if any 2 ","",100.00%
A. Scott Bolden ,"",348 45.19% Total... 2 ,"",100.00%
"Write In, if any ","",3 0.39% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","770 100.00% Write In, if any 2 ","",100.00%
DEM - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final) Total... 2 ,"",100.00%
Regina James ,"",14 1.70% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Deborah ''Debbie'' Smith ,"","16 1.94% Write In, if any 7 ","",100.00%
Bruce A. Marshall ,"",54 6.55%,"",""
"","",Total... 7 ,"",100.00%
