"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 67 ,"",Precinct 67,"",""
Registration & Turnout ,"","3,032 DEM - WARD FIVE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",1346 44.39% Audrey M. Ray 18 ,"",1.33%
Absentee Turnout ,"",33 1.09% Ron L. Magnus 78 ,"",5.75%
Provisional Turnout ,"",28 0.92% Rae Zapata 102 ,"",7.52%
Total... ,"","1,407 46.41% Joe Harris 7 ","",0.52%
"","",Vera Winfield 22 ,"",1.62%
Democratic Registration & Turnout ,"","2,865 Frank Wilds 260 ","",19.17%
Election Day Turnout ,"","1327 46.32% Harry (Tommy) Thomas, Jr. 594 ","",43.81%
Absentee Turnout ,"",32 1.12% Kathy Henderson 28 ,"",2.06%
Provisional Turnout ,"","27 0.94% Write In, if any 5 ","",0.37%
Total... ,"","1,386 48.38% Total... 1,356 ","",100.00%
Republican Registration & Turnout ,"",141 DEM - UNITED STATES SENATOR ,"",(Final)
Election Day Turnout ,"",14 9.93% Michael D. Brown 907 ,"",73.50%
Absentee Turnout ,"",1 0.71% Philip Pannell 310 ,"",25.12%
Provisional Turnout ,"","1 0.71% Write In, if any 17 ","",1.38%
Total... ,"","16 11.35% Total... 1,234 ","",100.00%
DC Statehood Green Party Registration & Turnout ,"",26 DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Election Day Turnout ,"",5 19.23% Mike Panetta 510 ,"",45.17%
Absentee Turnout ,"",0 0.00% John J. Forster 403 ,"",35.70%
Provisional Turnout ,"",0 0.00% James S. Bubar 187 ,"",16.56%
Total... ,"","5 19.23% Write In, if any 29 ","",2.57%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"","(Final) Total... 1,129 ","",100.00%
Andy Miscuk ,"",50 3.71% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
Eleanor Holmes Norton ,"","1286 95.40% Write In, if any 5 ","",100.00%
"Write In, if any ","",12 0.89%,"",""
"","",Total... 5 ,"",100.00%
Total... ,"","1,348 100.00%","",""
"","",REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) David W. Kranich 6 ,"",40.00%
Vincent Orange ,"","121 8.83% Write In, if any 9 ","",60.00%
Adrian Fenty ,"",634 46.28%,"",""
Michael A. Brown ,"",6 Total... 15 0.44%,"",100.00%
Linda Cropp ,"",520 37.96% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","0 0.00% Write In, if any 3 ","",100.00%
Marie Johns ,"",87 6.35% Total... 3 ,"",100.00%
Nestor Djonkam ,"",0 0.00%,"",""
"Write In, if any ","",2 REP - AT-LARGE MEMBER OF THE COUNCIL 0.15%,"",(Final)
"","",Marcus Skelton 5 ,"",71.43%
Total... ,"","1,370 100.00% Write In, if any 2 ","",28.57%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 7 ,"",100.00%
Vincent C. Gray ,"",851 64.08%,"",""
Kathy Patterson ,"",473 REP - WARD FIVE MEMBER OF THE COUNCIL 35.62%,"",(Final)
"Write In, if any ","","4 0.30% Write In, if any 7 ","",100.00%
Total... ,"","1,328 100.00% Total... 7 ","",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) REP - UNITED STATES SENATOR ,"",(Final)
Phil Mendelson ,"","681 52.55% Write In, if any 1 ","",100.00%
A. Scott Bolden ,"",610 47.07% Total... 1 ,"",100.00%
"Write In, if any ","",5 0.39% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","1,296 100.00% Write In, if any 0 ","",0.00%
DEM - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final) Total... 0 ,"",0.00%
Regina James ,"",25 1.84% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Deborah ''Debbie'' Smith ,"","19 1.40% Write In, if any 1 ","",100.00%
Bruce A. Marshall ,"",198 14.60%,"",""
"","",Total... 1 ,"",100.00%
