"","",Primary Election,"",""
"","","September 12, 2006","",""
"","",Precinct Report,"",""
"","",District Of Columbia,"",""
"","",Certified Election Night Results ,"",""
Precinct 19 ,"",Precinct 19,"",""
Registration & Turnout ,"","3,317 DEM - WARD FIVE MEMBER OF THE COUNCIL ","",(Final)
Election Day Turnout ,"",940 28.34% Audrey M. Ray 34 ,"",3.66%
Absentee Turnout ,"",24 0.72% Ron L. Magnus 38 ,"",4.09%
Provisional Turnout ,"",22 0.66% Rae Zapata 138 ,"",14.85%
Total... ,"",986 29.73% Joe Harris 25 ,"",2.69%
"","",Vera Winfield 10 ,"",1.08%
Democratic Registration & Turnout ,"","3,042 Frank Wilds 155 ","",16.68%
Election Day Turnout ,"","926 30.44% Harry (Tommy) Thomas, Jr. 383 ","",41.23%
Absentee Turnout ,"",23 0.76% Kathy Henderson 34 ,"",3.66%
Provisional Turnout ,"","22 0.72% Write In, if any 7 ","",0.75%
Total... ,"",971 31.92% Total... 929 ,"",100.00%
Republican Registration & Turnout ,"",194 DEM - UNITED STATES SENATOR ,"",(Final)
Election Day Turnout ,"",7 3.61% Michael D. Brown 643 ,"",75.38%
Absentee Turnout ,"",0 0.00% Philip Pannell 192 ,"",22.51%
Provisional Turnout ,"","0 0.00% Write In, if any 18 ","",2.11%
Total... ,"",7 3.61% Total... 853 ,"",100.00%
DC Statehood Green Party Registration & Turnout ,"",81 DEM - UNITED STATES REPRESENTATIVE ,"",(Final)
Election Day Turnout ,"",7 8.64% Mike Panetta 321 ,"",41.21%
Absentee Turnout ,"",1 1.23% John J. Forster 299 ,"",38.38%
Provisional Turnout ,"",0 0.00% James S. Bubar 132 ,"",16.94%
Total... ,"","8 9.88% Write In, if any 27 ","",3.47%
DEM - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final) Total... 779 ,"",100.00%
Andy Miscuk ,"",44 4.72% REP - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVE ,"",(Final)
Eleanor Holmes Norton ,"","878 94.11% Write In, if any 3 ","",100.00%
"Write In, if any ","",11 1.18%,"",""
"","",Total... 3 ,"",100.00%
Total... ,"",933 100.00%,"",""
"","",REP - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final)
DEM - MAYOR OF THE DISTRICT OF COLUMBIA ,"",(Final) David W. Kranich 3 ,"",42.86%
Vincent Orange ,"","50 5.17% Write In, if any 4 ","",57.14%
Adrian Fenty ,"",527 54.50%,"",""
Michael A. Brown ,"",8 Total... 7 0.83%,"",100.00%
Linda Cropp ,"",267 27.61% REP - CHAIRMAN OF THE COUNCIL ,"",(Final)
Artee (RT) Milligan ,"","1 0.10% Write In, if any 2 ","",100.00%
Marie Johns ,"",114 11.79% Total... 2 ,"",100.00%
Nestor Djonkam ,"",0 0.00%,"",""
"Write In, if any ","",0 REP - AT-LARGE MEMBER OF THE COUNCIL 0.00%,"",(Final)
"","",Marcus Skelton 5 ,"",83.33%
Total... ,"","967 100.00% Write In, if any 1 ","",16.67%
DEM - CHAIRMAN OF THE COUNCIL ,"",(Final) Total... 6 ,"",100.00%
Vincent C. Gray ,"",618 66.74%,"",""
Kathy Patterson ,"",304 REP - WARD FIVE MEMBER OF THE COUNCIL 32.83%,"",(Final)
"Write In, if any ","","4 0.43% Write In, if any 2 ","",100.00%
Total... ,"",926 100.00% Total... 2 ,"",100.00%
DEM - AT-LARGE MEMBER OF THE COUNCIL ,"",(Final) REP - UNITED STATES SENATOR ,"",(Final)
Phil Mendelson ,"","490 54.93% Write In, if any 1 ","",100.00%
A. Scott Bolden ,"",389 43.61% Total... 1 ,"",100.00%
"Write In, if any ","",13 1.46% REP - UNITED STATES REPRESENTATIVE ,"",(Final)
Total... ,"","892 100.00% Write In, if any 1 ","",100.00%
DEM - WARD FIVE MEMBER OF THE COUNCIL ,"",(Final) Total... 1 ,"",100.00%
Regina James ,"",16 1.72% SG - DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES ,"",(Final)
Deborah ''Debbie'' Smith ,"","28 3.01% Write In, if any 1 ","",100.00%
Bruce A. Marshall ,"",61 6.57%,"",""
"","",Total... 1 ,"",100.00%
